Provider Id,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description
100067,1200 7TH AVENUE NORTH,SAINT PETERSBUR,FL,33705,FL - St. Petersburg
100068,301 MEMORIAL MEDICAL PARKWAY,DAYTONA BEACH,FL,32117,FL - Ormond Beach
100069,7171 NORTH DALE MABRY,TAMPA,FL,33614,FL - Tampa
100070,540 THE RIALTO,VENICE,FL,34285,FL - Sarasota
100071,17240 CORTEZ BLVD,BROOKSVILLE,FL,34601,FL - Hudson
100072,1055 SAXON BLVD,ORANGE CITY,FL,32763,FL - Orlando
100073,4725 N FEDERAL HWY,FORT LAUDERDALE,FL,33308,FL - Fort Lauderdale
100075,3001 W MARTIN LUTHER KING JR BLVD,TAMPA,FL,33677,FL - Tampa
100076,5959 NW 7TH ST,MIAMI,FL,33126,FL - Miami
100077,2500 HARBOR BLVD,PORT CHARLOTTE,FL,33952,FL - Fort Myers
100080,5301 S CONGRESS AVE,ATLANTIS,FL,33462,FL - Fort Lauderdale
100081,4413 US HWY 331 S,DEFUNIAK SPRING,FL,32435,FL - Pensacola
100084,600 E DIXIE AVE,LEESBURG,FL,34748,FL - Orlando
100086,201 E SAMPLE RD,POMPANO BEACH,FL,33064,FL - Fort Lauderdale
100087,1700 S TAMIAMI TRL,SARASOTA,FL,34239,FL - Sarasota
100088,800 PRUDENTIAL DR,JACKSONVILLE,FL,32207,FL - Jacksonville
100090,400 HEALTH PARK BLVD,SAINT AUGUSTINE,FL,32086,FL - Jacksonville
100092,110 LONGWOOD AVE,ROCKLEDGE,FL,32955,FL - Orlando
100093,1000 W MORENO ST,PENSACOLA,FL,32501,FL - Pensacola
100099,410 S 11TH ST,LAKE WALES,FL,33853,FL - Orlando
100102,368 NE FRANKLIN ST,LAKE CITY,FL,32055,FL - Gainesville
100105,1000 36TH ST,VERO BEACH,FL,32960,FL - Orlando
100106,333 N BYRON BUTLER PKWY,PERRY,FL,32348,FL - Tallahassee
100107,1500 LEE BLVD,LEHIGH ACRES,FL,33936,FL - Fort Myers
100109,4200 SUN N' LAKE BLVD,SEBRING,FL,33871,FL - Orlando
100110,700 WEST OAK STREET,KISSIMMEE,FL,34741,FL - Orlando
100113,1600 SW ARCHER RD,GAINESVILLE,FL,32610,FL - Gainesville
100117,1350 13TH AVE S,JACKSONVILLE BE,FL,32250,FL - Jacksonville
100118,60 MEMORIAL MEDICAL PKWY,PALM COAST,FL,32164,FL - Ormond Beach
100121,2200 OSPREY BLVD,BARTOW,FL,33831,FL - Lakeland
100122,151 REDSTONE AVE SE,CRESTVIEW,FL,32539,FL - Pensacola
100124,6002 BERRYHILL RD,MILTON,FL,32570,FL - Pensacola
100125,975 BAPTIST WAY,HOMESTEAD,FL,33033,FL - Miami
100126,1501 PASADENA AVE SOUTH,SAINT PETERSBUR,FL,33707,FL - St. Petersburg
100127,300 PINELLAS ST,CLEARWATER,FL,33756,FL - Clearwater
100128,1 TAMPA GENERAL CIRCLE,TAMPA,FL,33606,FL - Tampa
100130,39200 HOOKER HWY,BELLE GLADE,FL,33430,FL - Fort Lauderdale
100131,20900 BISCAYNE BLVD,AVENTURA,FL,33180,FL - Miami
100132,301 N ALEXANDER ST,PLANT CITY,FL,33563,FL - Lakeland
100135,1300 MICCOSUKEE RD,TALLAHASSEE,FL,32308,FL - Tallahassee
100137,40100 US HWY 27 N,DAVENPORT,FL,33837,FL - Orlando
100139,125 SW 7TH ST,WILLISTON,FL,32696,FL - Gainesville
100140,1250 S 18TH ST,FERNANDINA BEAC,FL,32034,FL - Jacksonville
100142,4250 HOSPITAL DR,MARIANNA,FL,32446,AL - Dothan
100150,5900 COLLEGE ROAD,KEY WEST,FL,33040,FL - Miami
100151,4500 SAN PABLO RD,JACKSONVILLE,FL,32224,FL - Jacksonville
100154,6200 SW 73RD ST,SOUTH MIAMI,FL,33143,FL - Miami
100156,340 NW COMMERCE DR,LAKE CITY,FL,32055,FL - Gainesville
100157,1324 LAKELAND HILLS BLVD,LAKELAND,FL,33805,FL - Lakeland
100161,1401 W SEMINOLE BLVD,SANFORD,FL,32771,FL - Orlando
100166,5731 BEE RIDGE RD,SARASOTA,FL,34233,FL - Sarasota
100167,401 NW 42ND AVE,PLANTATION,FL,33317,FL - Fort Lauderdale
100168,800 MEADOWS RD,BOCA RATON,FL,33486,FL - Fort Lauderdale
100173,3100 E FLETCHER AVE,TAMPA,FL,33613,FL - Tampa
100175,900 N ROBERT AVE,ARCADIA,FL,34265,FL - Sarasota
100176,3360 BURNS RD,PALM BEACH GARD,FL,33410,FL - Fort Lauderdale
100177,701 W COCOA BEACH CAUSEWAY,COCOA BEACH,FL,32932,FL - Orlando
100179,3625 UNIVERSITY BLVD S,JACKSONVILLE,FL,32216,FL - Jacksonville
100180,6500 38TH AVE N,SAINT PETERSBUR,FL,33710,FL - St. Petersburg
100181,7031 SW 62ND AVE,SOUTH MIAMI,FL,33143,FL - Miami
100183,3100 DOUGLAS RD,CORAL GABLES,FL,33134,FL - Miami
100187,2001 W 68TH ST,HIALEAH,FL,33016,FL - Miami
100189,2801 N STATE RD 7,MARGATE,FL,33063,FL - Fort Lauderdale
100191,9330 SR 54,TRINITY,FL,34655,FL - Hudson
100200,6401 N FEDERAL HWY,FORT LAUDERDALE,FL,33308,FL - Fort Lauderdale
100204,6500 NEWBERRY RD,GAINESVILLE,FL,32605,FL - Gainesville
100206,2901 SWANN AVE,TAMPA,FL,33609,FL - Tampa
100209,11750 BIRD RD,MIAMI,FL,33175,FL - Miami
100211,13100 FT KING ROAD,DADE CITY,FL,33525,FL - Tampa
100212,1431 SW 1ST AVE,OCALA,FL,34478,FL - Ocala
100213,2020 59TH ST W,BRADENTON,FL,34209,FL - Bradenton
100217,13695 US HWY 1,SEBASTIAN,FL,32978,FL - Orlando
100220,13681 DOCTOR'S WAY,FORT MYERS,FL,33912,FL - Fort Myers
100223,1000 MAR-WALT DR,FORT WALTON BEA,FL,32547,FL - Pensacola
100224,7201 N UNIVERSITY DR,TAMARAC,FL,33321,FL - Fort Lauderdale
100226,2001 KINGSLEY AVE,ORANGE PARK,FL,32073,FL - Jacksonville
100228,8201 W BROWARD BLVD,PLANTATION,FL,33324,FL - Fort Lauderdale
100230,7800 SHERIDAN ST,PEMBROKE PINES,FL,33024,FL - Miami
100231,8383 N DAVIS HWY,PENSACOLA,FL,32514,FL - Pensacola
100232,611 ZEAGLER DR,PALATKA,FL,32177,FL - Gainesville
100234,2201 45TH ST,WEST PALM BEACH,FL,33407,FL - Fort Lauderdale
100236,21298 OLEAN BLVD,PORT CHARLOTTE,FL,33952,FL - Fort Myers
100238,6000 49TH STREET N,SAINT PETERSBUR,FL,33709,FL - St. Petersburg
100239,2323 9TH AVE N,SAINT PETERSBUR,FL,33713,FL - St. Petersburg
100242,449 W 23RD ST,PANAMA CITY,FL,32405,FL - Panama City
100243,119 OAKFIELD DR,BRANDON,FL,33511,FL - Tampa
100244,636 DEL PRADO BLVD,CAPE CORAL,FL,33990,FL - Fort Myers
100246,1700 S 23RD ST,FORT PIERCE,FL,34950,FL - Orlando
100248,201 14TH ST SW,LARGO,FL,33770,FL - Clearwater
100249,6201 N SUNCOAST BLVD,CRYSTAL RIVER,FL,34428,FL - Ocala
100252,1796 HWY 441 NORTH,OKEECHOBEE,FL,34972,FL - Orlando
