Provider Id,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description
110164,350 HOSPITAL DRIVE,MACON,GA,31217,GA - Macon
110165,"11 UPPER RIVERDALE ROAD, SW",RIVERDALE,GA,30274,GA - Atlanta
110168,501 REDMOND ROAD,ROME,GA,30165,GA - Rome
110177,3651 WHEELER ROAD,AUGUSTA,GA,30909,GA - Augusta
110183,3949 SOUTH COBB DRIVE,SMYRNA,GA,30080,GA - Atlanta
110184,8954 HOSPITAL DRIVE,DOUGLASVILLE,GA,30134,GA - Atlanta
110186,616 19TH STREET,COLUMBUS,GA,31901,GA - Columbus
110187,227 MOUNTAIN DR,DAHLONEGA,GA,30533,GA - Atlanta
110189,2855 OLD HIGHWAY 5 NORTH,BLUE RIDGE,GA,30513,GA - Atlanta
110190,"509 SUMTER STREET, BOX 770",MONTEZUMA,GA,31063,GA - Macon
110191,1133 EAGLE'S LANDING PARKWAY,STOCKBRIDGE,GA,30281,GA - Atlanta
110192,1700 MEDICAL WAY,SNELLVILLE,GA,30078,GA - Atlanta
110194,102 HOSPITAL CIR,DONALSONVILLE,GA,39845,AL - Dothan
110198,3000 HOSPITAL BOULEVARD,ROSWELL,GA,30076,GA - Atlanta
110200,100 FRIST COURT,COLUMBUS,GA,31909,GA - Columbus
110201,400 CHARTER BOULEVARD,MACON,GA,31210,GA - Macon
110203,"1821 CLIFTON ROAD, NE",ATLANTA,GA,30329,GA - Atlanta
110205,1362 SOUTH MAIN STREET,ELLIJAY,GA,30540,GA - Atlanta
110209,3015 VETERANS PARKWAY,MOULTRIE,GA,31788,FL - Tallahassee
110212,4280 NORTH VALDOSTA ROAD,VALDOSTA,GA,31602,FL - Tallahassee
110215,1255 HIGHWAY 54 WEST,FAYETTEVILLE,GA,30214,GA - Atlanta
110219,1170 CLEVELAND AVENUE,EAST POINT,GA,30344,GA - Atlanta
110225,1266 HIGHWAY 515 SOUTH,JASPER,GA,30143,GA - Atlanta
110226,2801 DEKALB MEDICAL PARKWAY,LITHONIA,GA,30058,GA - Atlanta
110229,60 HOSPITAL ROAD,NEWNAN,GA,30263,GA - Atlanta
110230,6325 HOSPITAL PARKWAY,JOHNS CREEK,GA,30097,GA - Atlanta
120001,1301 PUNCHBOWL ST,HONOLULU,HI,96813,HI - Honolulu
120002,221 MAHALANI STREET,WAILUKU,HI,96793,HI - Honolulu
120004,128 LEHUA STREET,WAHIAWA,HI,96786,HI - Honolulu
120005,1190 WAIANUENUE AVENUE,HILO,HI,96720,HI - Honolulu
120006,640 ULUKAHIKI ST,KAILUA,HI,96734,HI - Honolulu
120007,347 NORTH KUAKINI STREET,HONOLULU,HI,96817,HI - Honolulu
120010,2230 LILIHA STREET,HONOLULU,HI,96817,HI - Honolulu
120011,3288 MOANALUA RD,HONOLULU,HI,96819,HI - Honolulu
120014,3-3420 KUHIO HIGHWAY,LIHUE,HI,96766,HI - Honolulu
120019,79-1019 HAUKAPILA STREET,KEALAKEKUA,HI,96750,HI - Honolulu
120022,888 SO KING STREET,HONOLULU,HI,96813,HI - Honolulu
120026,98-1079 MOANALUA ROAD,AIEA,HI,96701,HI - Honolulu
120027,91-2141 FORT WEAVER ROAD,EWA BEACH,HI,96706,HI - Honolulu
120028,67 1125 MAMALAHOA HIGHWAY,KAMUELA,HI,96743,HI - Honolulu
130002,801 POLE LINE ROAD WEST,TWIN FALLS,ID,83301,ID - Boise
130003,415 SIXTH STREET,LEWISTON,ID,83501,WA - Spokane
130006,190 EAST BANNOCK STREET,BOISE,ID,83712,ID - Boise
130007,1055 NORTH CURTIS ROAD,BOISE,ID,83706,ID - Boise
130013,1512 TWELFTH AVENUE ROAD,NAMPA,ID,83686,ID - Boise
130014,1717 ARLINGTON STREET,CALDWELL,ID,83605,ID - Boise
130018,3100 CHANNING WAY,IDAHO FALLS,ID,83404,ID - Idaho Falls
130025,450 EAST MAIN STREET,REXBURG,ID,83440,ID - Idaho Falls
130028,777 HOSPITAL WAY,POCATELLO,ID,83201,UT - Salt Lake City
130049,2003 KOOTENAI HEALTH WAY,COEUR D'ALENE,ID,83814,WA - Spokane
130063,8800 WEST EMERALD STREET,BOISE,ID,83704,ID - Boise
130065,2325 CORONADO STREET,IDAHO FALLS,ID,83404,ID - Idaho Falls
130066,1593 EAST POLSTON AVENUE,POST FALLS,ID,83854,WA - Spokane
140001,210 WEST WALNUT STREET,CANTON,IL,61520,IL - Peoria
140002,ONE MEMORIAL DRIVE,ALTON,IL,62002,MO - St. Louis
140007,333 N MADISON,JOLIET,IL,60435,IL - Joliet
140008,701 WEST NORTH AVE,MELROSE PARK,IL,60160,IL - Melrose Park
140010,2650 RIDGE AVE,EVANSTON,IL,60201,IL - Evanston
140011,201 S 14TH ST,HERRIN,IL,62948,MO - St. Louis
140012,403 E 1ST ST,DIXON,IL,61021,IL - Rockford
140013,5409 N KNOXVILLE AVE,PEORIA,IL,61614,IL - Peoria
140015,BROADWAY AT 11TH STREET,QUINCY,IL,62301,IL - Springfield
140018,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,IL - Chicago
140019,200 S CEDAR ST,SHELBYVILLE,IL,62565,IL - Springfield
140026,111  SPRING STREET,STREATOR,IL,61364,IL - Peoria
140029,2000 OGDEN AVENUE,AURORA,IL,60504,IL - Aurora
140030,1425 NORTH RANDALL ROAD,ELGIN,IL,60123,IL - Elgin
140032,503 N MAPLE STREET,EFFINGHAM,IL,62401,IL - Springfield
140034,400 NORTH PLEASANT AVENUE,CENTRALIA,IL,62801,MO - St. Louis
140040,695 N KELLOGG ST,GALESBURG,IL,61401,IL - Peoria
140043,100 EAST LEFEVRE ROAD,STERLING,IL,61081,IL - Rockford
140046,605 N 12TH STREET,MOUNT VERNON,IL,62864,MO - St. Louis
140048,2320 E 93RD ST,CHICAGO,IL,60617,IL - Chicago
140049,3 ERIE COURT,OAK PARK,IL,60302,IL - Melrose Park
140051,9600 GROSS POINT ROAD,SKOKIE,IL,60076,IL - Evanston
140052,ST ANTHONY'S WAY,ALTON,IL,62002,MO - St. Louis
140053,800 E CARPENTER ST,SPRINGFIELD,IL,62769,IL - Springfield
140054,3249 SOUTH OAK PARK AVENUE,BERWYN,IL,60402,IL - Melrose Park
140058,1600 W WALNUT ST,JACKSONVILLE,IL,62650,IL - Springfield
140059,400 MAPLE SUMMIT ROAD,JERSEYVILLE,IL,62052,MO - St. Louis
140062,12251 SOUTH 80TH AVENUE,PALOS HEIGHTS,IL,60463,IL - Blue Island
140063,520 S MAPLE AVE,OAK PARK,IL,60304,IL - Melrose Park
140064,3333 NORTH SEMINARY,GALESBURG,IL,61401,IL - Peoria
140065,5101 S WILLOW SPRINGS RD,LA GRANGE,IL,60525,IL - Melrose Park
140067,530 NE GLEN OAK AVE,PEORIA,IL,61637,IL - Peoria
140068,45 W 111TH STREET,CHICAGO,IL,60628,IL - Chicago
140077,5900 BOND AVENUE,CENTREVILLE,IL,62207,MO - St. Louis
140080,355 RIDGE AVE,EVANSTON,IL,60202,IL - Evanston
140082,4646 N MARINE DRIVE,CHICAGO,IL,60640,IL - Chicago
140083,645 SOUTH CENTRAL AVE,CHICAGO,IL,60644,IL - Chicago
140084,1324 NORTH SHERIDAN ROAD,WAUKEGAN,IL,60085,WI - Milwaukee
140088,5841 SOUTH MARYLAND,CHICAGO,IL,60637,IL - Chicago
140089,525 EAST GRANT STREET,MACOMB,IL,61455,IL - Springfield
140091,611 WEST PARK STREET,URBANA,IL,61801,IL - Urbana
140093,812 N LOGAN,DANVILLE,IL,61832,IL - Urbana
140095,2875 WEST 19TH STREET,CHICAGO,IL,60623,IL - Chicago
140100,2520 ELISHA AVENUE,ZION,IL,60099,WI - Milwaukee
140101,150 W HIGH ST,MORRIS,IL,60450,IL - Joliet
140103,326 W 64TH ST,CHICAGO,IL,60621,IL - Chicago
140110,1100 EAST NORRIS DRIVE,OTTAWA,IL,61350,IL - Peoria
140113,1400 WEST PARK AVENUE,URBANA,IL,61801,IL - Urbana
140114,5145 N CALIFORNIA AVE,CHICAGO,IL,60625,IL - Chicago
140115,850 W IRVING PARK RD,CHICAGO,IL,60613,IL - Chicago
140116,4201 MEDICAL CENTER DRIVE,MCHENRY,IL,60050,IL - Elgin
140117,7435 W TALCOTT AVENUE,CHICAGO,IL,60631,IL - Chicago
140118,12935 S GREGORY,BLUE ISLAND,IL,60406,IL - Blue Island
140119,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,IL - Chicago
140120,600 SOUTH 13TH STREET,PEKIN,IL,61554,IL - Peoria
140122,120 NORTH OAK ST,HINSDALE,IL,60521,IL - Hinsdale
140124,1901 W HARRISON ST,CHICAGO,IL,60612,IL - Chicago
140125,2100 MADISON AVENUE,GRANITE CITY,IL,62040,MO - St. Louis
140127,1304 FRANKLIN AVENUE,NORMAL,IL,61761,IL - Bloomington
140130,660 N WESTMORELAND ROAD,LAKE FOREST,IL,60045,IL - Evanston
140133,2701 W 68TH STREET,CHICAGO,IL,60629,IL - Chicago
140135,2300 NORTH EDWARD STREET,DECATUR,IL,62526,IL - Springfield
140137,200 HEALTHCARE DR,GREENVILLE,IL,62246,MO - St. Louis
140143,600 E 1ST ST,SPRING VALLEY,IL,61362,IL - Peoria
140145,9515 HOLY CROSS LN,BREESE,IL,62230,MO - St. Louis
140147,800 EAST LOCUST,OLNEY,IL,62450,IN - Evansville
140148,701 N FIRST ST,SPRINGFIELD,IL,62781,IL - Springfield
140150,1740 WEST TAYLOR ST SUITE 1400,CHICAGO,IL,60612,IL - Chicago
140151,3240 W FRANKLIN BLVD,CHICAGO,IL,60624,IL - Chicago
140155,500 W COURT ST,KANKAKEE,IL,60901,IL - Joliet
140158,2525 S MICHIGAN AVE,CHICAGO,IL,60616,IL - Chicago
140160,1045 WEST STEPHENSON STREET,FREEPORT,IL,61032,IL - Rockford
140161,2500 WEST REYNOLDS STREET,PONTIAC,IL,61764,IL - Bloomington
140162,2200 E WASHINGTON,BLOOMINGTON,IL,61701,IL - Bloomington
140164,405 W JACKSON,CARBONDALE,IL,62902,MO - St. Louis
140166,1800 E LAKE SHORE DR,DECATUR,IL,62521,IL - Springfield
140167,200 FAIRMAN STREET,WATSEKA,IL,60970,IL - Urbana
140172,20201 S CRAWFORD AVENUE,OLYMPIA FIELDS,IL,60461,IL - Blue Island
140174,1325 N HIGHLAND AVENUE,AURORA,IL,60506,IL - Aurora
140176,3701 DOTY ROAD,WOODSTOCK,IL,60098,IL - Rockford
140177,7531 S STONY ISLAND AVE,CHICAGO,IL,60649,IL - Chicago
140179,2800 W 95TH ST,EVERGREEN PARK,IL,60805,IL - Blue Island
140180,2233 W DIVISION ST,CHICAGO,IL,60622,IL - Chicago
140181,8012 SOUTH CRANDON AVENUE,CHICAGO,IL,60617,IL - Chicago
140182,836 WEST WELLINGTON AVENUE,CHICAGO,IL,60657,IL - Chicago
140184,3333 W DE YOUNG,MARION,IL,62959,KY - Paducah
140185,4500 MEMORIAL DRIVE,BELLEVILLE,IL,62226,MO - St. Louis
140186,350 N WALL ST,KANKAKEE,IL,60901,IL - Joliet
140187,211 S THIRD ST,BELLEVILLE,IL,62220,MO - St. Louis
140189,1000 HEALTH CENTER DRIVE P O BOX 372,MATTOON,IL,61938,IL - Urbana
140191,ONE INGALLS DRIVE,HARVEY,IL,60426,IL - Blue Island
140197,5025 N PAULINA STREET,CHICAGO,IL,60640,IL - Chicago
140200,155 EAST BRUSH HILL ROAD,ELMHURST,IL,60126,IL - Melrose Park
140202,801 S MILWAUKEE AVE,LIBERTYVILLE,IL,60048,WI - Milwaukee
140206,1044 N FRANCISCO AVE,CHICAGO,IL,60622,IL - Chicago
140208,4440 W 95TH STREET,OAK LAWN,IL,60453,IL - Blue Island
140209,221 N E GLEN OAK AVE,PEORIA,IL,61636,IL - Peoria
140210,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,IN - Evansville
140211,300 RANDALL RD,GENEVA,IL,60134,IL - Melrose Park
140213,1900 SILVER CROSS BLVD,NEW LENOX,IL,60451,IL - Joliet
140217,77 N AIRLITE STREET,ELGIN,IL,60123,IL - Elgin
140223,1775 DEMPSTER ST,PARK RIDGE,IL,60068,IL - Evanston
140224,2900 NORTH LAKE SHORE DRIVE,CHICAGO,IL,60657,IL - Chicago
140228,1401 EAST STATE STREET,ROCKFORD,IL,61104,IL - Rockford
140231,801 SOUTH WASHINGTON,NAPERVILLE,IL,60540,IL - Hinsdale
140233,5666 EAST STATE STREET,ROCKFORD,IL,61108,IL - Rockford
140234,925 WEST ST,PERU,IL,61354,IL - Peoria
140239,2400 NORTH ROCKTON AVENUE,ROCKFORD,IL,61103,IL - Rockford
140240,1225 LAKE ST,MELROSE PARK,IL,60160,IL - Melrose Park
140242,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,IL - Melrose Park
140250,17800 S KEDZIE AVE,HAZEL CREST,IL,60429,IL - Blue Island
140251,5645 W ADDISON,CHICAGO,IL,60634,IL - Chicago
140252,800 W CENTRAL ROAD,ARLINGTON HEIGH,IL,60005,IL - Evanston
140258,800 W BIESTERFIELD RD,ELK GROVE VILLA,IL,60007,IL - Melrose Park
140275,801 ILLINI DRIVE,SILVIS,IL,61282,IA - Davenport
140276,2160 S 1ST AVENUE,MAYWOOD,IL,60153,IL - Melrose Park
140280,2701 17TH ST,ROCK ISLAND,IL,61201,IA - Davenport
140281,251 E HURON ST,CHICAGO,IL,60611,IL - Chicago
140286,ONE KISH HOSPITAL DRIVE,DEKALB,IL,60115,IL - Rockford
140288,3815 HIGHLAND AVENUE,DOWNERS GROVE,IL,60515,IL - Hinsdale
140289,6800 STATE ROUTE 162,MARYVILLE,IL,62062,MO - St. Louis
140290,1555 N BARRINGTON RD,HOFFMAN ESTATES,IL,60194,IL - Elgin
140291,450 WEST HIGHWAY 22,BARRINGTON,IL,60010,IL - Elgin
140292,701 WINTHROP AVENUE,GLENDALE HEIGHT,IL,60139,IL - Melrose Park
140294,8 DOCTORS PARK ROAD,MOUNT VERNON,IL,62864,MO - St. Louis
140300,500 E 51ST ST,CHICAGO,IL,60615,IL - Chicago
140301,159TH & CICERO AVENUE,OAK FOREST,IL,60452,IL - Blue Island
140304,500 REMINGTON BOULEVARD,BOLINGBROOK,IL,60440,IL - Hinsdale
150001,1125 W JEFFERSON ST,FRANKLIN,IN,46131,IN - Indianapolis
150002,600 GRANT ST,GARY,IN,46402,IN - Gary
150003,1501 HARTFORD ST,LAFAYETTE,IN,47904,IN - Lafayette
150004,5454 HOHMAN AVE,HAMMOND,IN,46320,IN - Munster
150005,1000 E MAIN ST,DANVILLE,IN,46122,IN - Indianapolis
150006,1007 LINCOLNWAY,LA PORTE,IN,46350,IN - South Bend
150007,3500 S LAFOUNTAIN ST,KOKOMO,IN,46904,IN - Indianapolis
150008,4321 FIR ST,EAST CHICAGO,IN,46312,IN - Munster
150009,1220 MISSOURI AVE,JEFFERSONVILLE,IN,47130,KY - Louisville
150010,1907 W SYCAMORE ST,KOKOMO,IN,46904,IN - Indianapolis
150011,441 N WABASH AVE,MARION,IN,46952,IN - Indianapolis
150012,5215 HOLY CROSS PKWY,MISHAWAKA,IN,46545,IN - South Bend
150015,301 W HOMER ST,MICHIGAN CITY,IN,46360,IN - Gary
150017,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,IN - Fort Wayne
150018,600 E BLVD,ELKHART,IN,46514,IN - South Bend
150021,11109 PARKVIEW PLAZA DRIVE,FORT WAYNE,IN,46805,IN - Fort Wayne
150022,1710 LAFAYETTE RD,CRAWFORDSVILLE,IN,47933,IN - Indianapolis
150023,1606 N SEVENTH ST,TERRE HAUTE,IN,47804,IN - Terre Haute
150024,1001 W 10TH ST,INDIANAPOLIS,IN,46202,IN - Indianapolis
150026,200 HIGH PARK AVE,GOSHEN,IN,46526,IN - South Bend
150030,1000 N 16TH ST,NEW CASTLE,IN,47362,IN - Indianapolis
150033,1600 ALBANY ST,BEECH GROVE,IN,46107,IN - Indianapolis
150034,1500 S LAKE PARK AVE,HOBART,IN,46342,IN - Gary
150035,814 LAPORTE AVE,VALPARAISO,IN,46383,IN - Gary
150037,801 N STATE ST,GREENFIELD,IN,46140,IN - Indianapolis
150038,2209 JOHN R WOODEN DR,MARTINSVILLE,IN,46151,IN - Indianapolis
150042,520 S 7TH ST,VINCENNES,IN,47591,IN - Evansville
150044,1850 STATE ST,NEW ALBANY,IN,47150,KY - Louisville
150045,1316 E SEVENTH ST,AUBURN,IN,46706,IN - Fort Wayne
150046,3901 S SEVENTH ST,TERRE HAUTE,IN,47802,IN - Terre Haute
150047,700 BROADWAY,FORT WAYNE,IN,46802,IN - Fort Wayne
150048,1100 REID PKWY,RICHMOND,IN,47374,IN - Indianapolis
150051,601 W SECOND ST,BLOOMINGTON,IN,47403,IN - Indianapolis
150056,1701 N SENATE BLVD,INDIANAPOLIS,IN,46206,IN - Indianapolis
150057,1201 HADLEY RD,MOORESVILLE,IN,46158,IN - Indianapolis
150058,615 N MICHIGAN ST,SOUTH BEND,IN,46601,IN - South Bend
150059,395 WESTFIELD RD,NOBLESVILLE,IN,46060,IN - Indianapolis
150061,1314 E WALNUT ST,WASHINGTON,IN,47501,IN - Evansville
150064,1941 VIRGINIA AVE,CONNERSVILLE,IN,47331,IN - Indianapolis
150065,411 W TIPTON ST,SEYMOUR,IN,47274,IN - Indianapolis
150069,ONE KINGS DAUGHTERS DR,MADISON,IN,47250,KY - Louisville
150072,1101 MICHIGAN AVE,LOGANSPORT,IN,46947,IN - Indianapolis
150074,1500 N RITTER AVE,INDIANAPOLIS,IN,46219,IN - Indianapolis
150075,303 S MAIN ST,BLUFFTON,IN,46714,IN - Fort Wayne
150076,1915 LAKE AVE,PLYMOUTH,IN,46563,IN - South Bend
150082,600 MARY ST,EVANSVILLE,IN,47747,IN - Evansville
150084,2001 W 86TH ST,INDIANAPOLIS,IN,46260,IN - Indianapolis
150086,600 WILSON CREEK RD,LAWRENCEBURG,IN,47025,OH - Cincinnati
150088,2015 JACKSON ST,ANDERSON,IN,46016,IN - Indianapolis
150089,2401 UNIVERSITY AVE,MUNCIE,IN,47303,IN - Muncie
150090,24 JOLIET ST,DYER,IN,46311,IN - Munster
150091,2001 STULTS RD,HUNTINGTON,IN,46750,IN - Fort Wayne
150097,150 W WASHINGTON ST,SHELBYVILLE,IN,46176,IN - Indianapolis
150100,3700 WASHINGTON AVE,EVANSVILLE,IN,47750,IN - Evansville
150101,1260 E SR 205,COLUMBIA CITY,IN,46725,IN - Fort Wayne
150102,102 E CULVER RD,KNOX,IN,46534,IN - Gary
150104,2605 N LEBANON ST,LEBANON,IN,46052,IN - Indianapolis
150109,1701 S CREASY LN,LAFAYETTE,IN,47905,IN - Lafayette
150112,2400 E 17TH ST,COLUMBUS,IN,47201,IN - Indianapolis
150113,1515 N MADISON AVE,ANDERSON,IN,46011,IN - Indianapolis
150115,800 W 9TH ST,JASPER,IN,47546,IN - Evansville
150125,901 MACARTHUR BLVD,MUNSTER,IN,46321,IN - Munster
150126,1201 S MAIN ST,CROWN POINT,IN,46307,IN - Gary
150128,1402 E COUNTY LINE RD S,INDIANAPOLIS,IN,46227,IN - Indianapolis
150129,3630 GUION RD,INDIANAPOLIS,IN,46222,IN - Indianapolis
150133,2101 E DUBOIS DR,WARSAW,IN,46580,IN - Fort Wayne
150146,401 SAWYER RD,KENDALLVILLE,IN,46755,IN - Fort Wayne
150150,2520 E DUPONT RD,FORT WAYNE,IN,46825,IN - Fort Wayne
150153,10580 N MERIDIAN ST,INDIANAPOLIS,IN,46290,IN - Indianapolis
150154,8075 N SHADELAND AVE,INDIANAPOLIS,IN,46250,IN - Indianapolis
150157,13500 N MERIDIAN ST,CARMEL,IN,46032,IN - Indianapolis
150158,1111 N RONALD REAGAN PKWY,AVON,IN,46123,IN - Indianapolis
150160,8400 NORTHWEST BLVD,INDIANAPOLIS,IN,46278,IN - Indianapolis
150161,11700 N MERIDIAN ST,CARMEL,IN,46032,IN - Indianapolis
150162,8111 S EMERSON AVE,INDIANAPOLIS,IN,46237,IN - Indianapolis
150163,2200  MARKET ST,CHARLESTOWN,IN,47111,KY - Louisville
150164,4011 S MONROE MEDICAL PARK BLVD,BLOOMINGTON,IN,47403,IN - Indianapolis
150165,701 SUPERIOR AVE,MUNSTER,IN,46321,IN - Munster
150166,9301 CONNECTICUT DR,CROWN POINT,IN,46307,IN - Gary
150167,11130 PARKVIEW CIRCLE DR,FORT WAYNE,IN,46845,IN - Fort Wayne
150168,7952 W JEFFERSON BLVD,FT WAYNE,IN,46804,IN - Fort Wayne
150169,7150 CLEARVISTA DR,INDIANAPOLIS,IN,46256,IN - Indianapolis
150172,4023 REAS LN,NEW ALBANY,IN,47150,KY - Louisville
150173,5165 MCCARTY LN,LAFAYETTE,IN,47905,IN - Lafayette
150175,4007 GATEWAY BLVD,NEWBURGH,IN,47630,IN - Evansville
150176,4601 MEDICAL PLAZA WAY,CLARKSVILLE,IN,47129,KY - Louisville
150177,4455 EDISON LAKES PKWY,MISHAWAKA,IN,46545,IN - South Bend
160001,3 SOUTH 4TH AVENUE,MARSHALLTOWN,IA,50158,IA - Des Moines
160005,311 SOUTH CLARK STREET,CARROLL,IA,51401,IA - Des Moines
160008,1600 MORGAN STREET,KEOKUK,IA,52632,IA - Iowa City
160013,1518 MULBERRY AVENUE,MUSCATINE,IA,52761,IA - Iowa City
160016,802 KENYON RD,FORT DODGE,IA,50501,IA - Des Moines
160024,700 EAST UNIVERSITY AVENUE,DES MOINES,IA,50316,IA - Des Moines
160028,800 MERCY DRIVE,COUNCIL BLUFFS,IA,51503,NE - Omaha
160029,500 E MARKET STREET,IOWA CITY,IA,52245,IA - Iowa City
160030,1111 DUFF AVENUE,AMES,IA,50010,IA - Des Moines
160032,204 NORTH 4TH AVENUE EAST,NEWTON,IA,50208,IA - Des Moines
160033,1227 EAST RUSHOLME STREET,DAVENPORT,IA,52803,IA - Davenport
160040,515 COLLEGE STREET,CEDAR FALLS,IA,50613,IA - Waterloo
160045,1026 A AVE NE,CEDAR RAPIDS,IA,52402,IA - Cedar Rapids
160047,933 EAST PIERCE STREET,COUNCIL BLUFFS,IA,51503,NE - Omaha
160057,1221 SOUTH GEAR AVENUE,WEST BURLINGTON,IA,52655,IA - Davenport
160058,200 HAWKINS DRIVE,IOWA CITY,IA,52242,IA - Iowa City
160064,1000 FOURTH STREET SW,MASON CITY,IA,50401,IA - Mason City
160067,3421 WEST NINTH STREET,WATERLOO,IA,50702,IA - Waterloo
160069,250 MERCY DRIVE,DUBUQUE,IA,52001,IA - Dubuque
160079,701 10TH STREET SE,CEDAR RAPIDS,IA,52403,IA - Cedar Rapids
160080,1410 NORTH 4TH STREET,CLINTON,IA,52732,IA - Davenport
160082,1200 PLEASANT STREET,DES MOINES,IA,50309,IA - Des Moines
160083,1111 6TH AVE,DES MOINES,IA,50314,IA - Des Moines
160089,1001 E PENNSYLVANIA,OTTUMWA,IA,52501,IA - Iowa City
160101,1801 HICKMAN ROAD,DES MOINES,IA,50314,IA - Des Moines
160104,4500 UTICA RIDGE ROAD,BETTENDORF,IA,52722,IA - Davenport
160110,1825 LOGAN AVENUE,WATERLOO,IA,50703,IA - Waterloo
160112,1200 1ST AVENUE EAST,SPENCER,IA,51301,SD - Sioux Falls
160117,350 NORTH GRANDVIEW AVENUE,DUBUQUE,IA,52001,IA - Dubuque
160122,5445 AVE O,FORT MADISON,IA,52627,IA - Iowa City
160124,2301 HIGHWAY 71,SPIRIT LAKE,IA,51360,SD - Sioux Falls
160146,2720 STONE PARK BOULEVARD,SIOUX CITY,IA,51104,IA - Sioux City
160147,210 FOURTH AVENUE,GRINNELL,IA,50112,IA - Des Moines
160153,801 5TH ST BOX #316B,SIOUX CITY,IA,51101,IA - Sioux City
170001,1201 WEST 12TH AVENUE,EMPORIA,KS,66801,KS - Topeka
170006,1 MT CARMEL WAY,PITTSBURG,KS,66762,MO - Joplin
170009,3500 SOUTH 4TH STREET,LEAVENWORTH,KS,66048,MO - Kansas City
170010,800 W MYRTLE STREET,INDEPENDENCE,KS,67301,KS - Wichita
170012,400 SOUTH SANTA FE AVENUE,SALINA,KS,67401,KS - Wichita
170013,2220 CANTERBURY DRIVE,HAYS,KS,67601,KS - Wichita
170014,1301 S MAIN STREET,OTTAWA,KS,66067,MO - Kansas City
170016,1700 SW 7TH STREET,TOPEKA,KS,66606,KS - Topeka
170017,720 W CENTRAL ST,EL DORADO,KS,67042,KS - Wichita
170020,1701 E 23RD AVENUE,HUTCHINSON,KS,67502,KS - Wichita
170023,401 EAST SPRUCE,GARDEN CITY,KS,67846,KS - Wichita
170027,200 COMMODORE ST,PRATT,KS,67124,KS - Wichita
170033,3515 BROADWAY ST,GREAT BEND,KS,67530,KS - Wichita
170039,1323 NORTH A ST,WELLINGTON,KS,67152,KS - Wichita
170040,3901 RAINBOW BLVD,KANSAS CITY,KS,66160,MO - Kansas City
170049,20375 W 151ST ST #303,OLATHE,KS,66061,MO - Kansas City
170058,401 WOODLAND HILLS BLVD,FORT SCOTT,KS,66701,MO - Joplin
170068,315 WEST 15TH STREET,LIBERAL,KS,67901,KS - Wichita
170074,1102 ST MARY'S ROAD,JUNCTION CITY,KS,66441,KS - Topeka
170075,218 E PACK ST,MOUNDRIDGE,KS,67107,KS - Wichita
170086,1500 SW 10TH ST,TOPEKA,KS,66604,KS - Topeka
170094,801 NORTH 4TH STREET,BURLINGTON,KS,66839,KS - Topeka
170103,800 MEDICAL CENTER DR,NEWTON,KS,67114,KS - Wichita
170104,9100 W 74TH STREET,SHAWNEE MISSION,KS,66204,MO - Kansas City
170105,1000 HOSPITAL DRIVE,MCPHERSON,KS,67460,KS - Wichita
170109,2100 BAPTISTE DRIVE,PAOLA,KS,66071,MO - Kansas City
170110,415 N MAIN STREET,ULYSSES,KS,67880,KS - Wichita
170120,1902 SOUTH US HWY 59,PARSONS,KS,67357,KS - Wichita
170122,929 N ST FRANCIS ST,WICHITA,KS,67214,KS - Wichita
170123,550 N HILLSIDE ST,WICHITA,KS,67214,KS - Wichita
170133,711 MARSHALL STREET,LEAVENWORTH,KS,66048,MO - Kansas City
170137,325 MAINE ST,LAWRENCE,KS,66044,MO - Kansas City
170142,1823 COLLEGE AVE,MANHATTAN,KS,66502,KS - Topeka
170145,1400 W 4TH ST,COFFEYVILLE,KS,67337,OK - Tulsa
170146,8929 PARALLEL PARKWAY,KANSAS CITY,KS,66112,MO - Kansas City
170150,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,67005,KS - Wichita
170166,445 N HILLTOP,ELKHART,KS,67950,TX - Amarillo
170175,3001 AVENUE A,DODGE CITY,KS,67801,KS - Wichita
170176,10500 QUIVIRA ROAD,OVERLAND PARK,KS,66215,MO - Kansas City
170182,5721 WEST 119TH STREET,OVERLAND PARK,KS,66209,MO - Kansas City
170183,2770 N WEBB ROAD,WICHITA,KS,67226,KS - Wichita
170185,12300 METCALF AVENUE,OVERLAND PARK,KS,66213,MO - Kansas City
170186,3601 NORTH WEBB ROAD,WICHITA,KS,67226,KS - Wichita
170187,401 SOUTH SANTA FE AVENUE,SALINA,KS,67401,KS - Wichita
170188,3651 COLLEGE BLVD,LEAWOOD,KS,66211,MO - Kansas City
170190,1829 COLLEGE AVENUE,MANHATTAN,KS,66502,KS - Topeka
170191,514 CLEVELAND STREET,GREAT BEND,KS,67530,KS - Wichita
170192,2610 N WOODLAWN,WICHITA,KS,67220,KS - Wichita
170194,4901 COLLEGE BLVD,LEAWOOD,KS,66211,MO - Kansas City
170195,10720 NALL AVENUE,OVERLAND PARK,KS,66211,MO - Kansas City
170196,3333 NORTH WEBB ROAD,WICHITA,KS,67226,KS - Wichita
